point50705 ( 41551 , 166649 ) 
point42015 ( 681824 , 167384 ) 
point73050 ( 775655 , 261196 ) 
point19287 ( 598303 , 89535 ) 
point11456 ( 602406 , 907622 ) 
point65481 ( 757422 , 295722 ) 
point73985 ( 761908 , 288538 ) 
point39989 ( 114627 , 121842 ) 
point73446 ( 756554 , 263114 ) 
point48251 ( 108505 , 408424 ) 
point81793 ( 759468 , 251918 ) 
point46252 ( 136545 , 223834 ) 
point55677 ( 956725 , 437077 ) 
point2701 ( 441456 , 897795 ) 
point36771 ( 795678 , 160728 ) 
point19560 ( 512096 , 41287 ) 
point57915 ( 805712 , 806412 ) 
point50644 ( 92155 , 620216 ) 
point84151 ( 785502 , 263478 ) 
point7944 ( 676497 , 669189 ) 
point54791 ( 840090 , 894737 ) 
point81313 ( 784001 , 270223 ) 
point59203 ( 985688 , 670779 ) 
point51768 ( 391175 , 266290 ) 
point76821 ( 784980 , 288482 ) 
point89098 ( 787815 , 292160 ) 
point15319 ( 340209 , 552870 ) 
point57031 ( 593990 , 832574 ) 
point24097 ( 517139 , 501871 ) 
point49139 ( 603637 , 549302 ) 
point55389 ( 878606 , 441634 ) 
point6325 ( 689485 , 984862 ) 
point46510 ( 592865 , 588978 ) 
point75909 ( 787243 , 293217 ) 
point61414 ( 784778 , 282720 ) 
point23220 ( 766801 , 91759 ) 
point36039 ( 135109 , 130582 ) 
point29489 ( 819128 , 309548 ) 
point33771 ( 537019 , 726446 ) 
point48808 ( 779613 , 297686 ) 
point36903 ( 477190 , 408478 ) 
point38140 ( 47781 , 788049 ) 
point64098 ( 794216 , 269065 ) 
point47298 ( 651832 , 482102 ) 
point1860 ( 931232 , 321350 ) 
point22145 ( 462367 , 965674 ) 
point54178 ( 674790 , 280263 ) 
point49542 ( 424850 , 771850 ) 
point17576 ( 775315 , 836178 ) 
point25578 ( 725289 , 911247 ) 
point3457 ( 181929 , 727609 ) 
point77745 ( 765967 , 270303 ) 
point3229 ( 204712 , 78585 ) 
point65275 ( 787606 , 271946 ) 
point68562 ( 795469 , 289202 ) 
point48971 ( 173833 , 894116 ) 
point92760 ( 751266 , 274677 ) 
point67418 ( 763308 , 285539 ) 
point55942 ( 835264 , 119128 ) 
point82441 ( 774728 , 258378 ) 
point93505 ( 771343 , 267371 ) 
point16561 ( 539981 , 309603 ) 
point21986 ( 152129 , 219042 ) 
point26303 ( 382820 , 761553 ) 
point20298 ( 665946 , 205181 ) 
point46208 ( 649663 , 288029 ) 
point51532 ( 386846 , 309801 ) 
point7577 ( 613189 , 356961 ) 
point23366 ( 726563 , 44520 ) 
point611 ( 764021 , 248555 ) 
point25449 ( 766226 , 44092 ) 
point48545 ( 793629 , 417235 ) 
point94104 ( 791373 , 277209 ) 
point24284 ( 840781 , 658731 ) 
point24478 ( 638030 , 281063 ) 
point53478 ( 478884 , 889349 ) 
point20230 ( 581485 , 799661 ) 
point63699 ( 795446 , 297455 ) 
point89454 ( 784100 , 294910 ) 
point87896 ( 756503 , 260392 ) 
point79595 ( 798182 , 270860 ) 
point76136 ( 797061 , 271863 ) 
point84315 ( 774886 , 263545 ) 
point22752 ( 335965 , 872273 ) 
point42198 ( 638299 , 72242 ) 
point36619 ( 106123 , 310562 ) 
point24356 ( 471106 , 101287 ) 
point30713 ( 638119 , 62848 ) 
point67329 ( 796510 , 270633 ) 
point32421 ( 662326 , 687532 ) 
point25036 ( 624192 , 961590 ) 
point71778 ( 775949 , 277770 ) 
point90590 ( 765227 , 261361 ) 
point536 ( 712941 , 231786 ) 
point96926 ( 786101 , 280786 ) 
point89313 ( 780672 , 283183 ) 
point66942 ( 798615 , 256264 ) 
point24362 ( 487295 , 514892 ) 
point71474 ( 769867 , 262210 ) 
point68364 ( 753456 , 265930 ) 
point96712 ( 788745 , 277933 ) 
point22721 ( 521448 , 593175 ) 
point80291 ( 771529 , 287183 ) 
point33748 ( 609802 , 322323 ) 
point92470 ( 769337 , 282092 ) 
point80102 ( 752918 , 267694 ) 
point43060 ( 278243 , 767304 ) 
point57474 ( 874514 , 952592 ) 
point95037 ( 776635 , 280504 ) 
point71100 ( 764221 , 261771 ) 
point38201 ( 766430 , 481650 ) 
point41730 ( 309484 , 133466 ) 
point99223 ( 759898 , 256386 ) 
point525 ( 794608 , 768624 ) 
point15366 ( 504413 , 386622 ) 
point36640 ( 738281 , 637844 ) 
point2768 ( 429081 , 681344 ) 
point76436 ( 778485 , 270838 ) 
point54315 ( 945356 , 11336 ) 
point76406 ( 761511 , 280195 ) 
point57356 ( 51217 , 107671 ) 
point7126 ( 372770 , 997750 ) 
point7151 ( 635883 , 825465 ) 
point27118 ( 422300 , 705889 ) 
point87820 ( 797334 , 273779 ) 
point3143 ( 772168 , 180745 ) 
point87919 ( 765423 , 264663 ) 
point12847 ( 246983 , 145261 ) 
point69248 ( 768403 , 285057 ) 
point68600 ( 764766 , 263074 ) 
point37525 ( 890442 , 303950 ) 
point26495 ( 712647 , 540173 ) 
point54759 ( 66291 , 107890 ) 
point37339 ( 712813 , 738596 ) 
point14174 ( 867089 , 900364 ) 
point12288 ( 482469 , 293090 ) 
point56614 ( 651534 , 835144 ) 
point1424 ( 632206 , 274455 ) 
point58567 ( 187093 , 633810 ) 
point37877 ( 585620 , 854782 ) 
point87650 ( 773123 , 257216 ) 
point4166 ( 530836 , 306740 ) 
point42523 ( 183539 , 897604 ) 
point36652 ( 456272 , 528939 ) 
point29377 ( 81272 , 572524 ) 
point42944 ( 884517 , 143985 ) 
point94381 ( 781579 , 281102 ) 
point68445 ( 771038 , 286197 ) 
point19458 ( 687505 , 531670 ) 
point81487 ( 766265 , 284920 ) 
point31652 ( 732456 , 722443 ) 
point92416 ( 750167 , 277059 ) 
point59208 ( 588746 , 181453 ) 
point6832 ( 511009 , 270965 ) 
point76186 ( 793597 , 296540 ) 
point3385 ( 354859 , 63417 ) 
point30368 ( 218897 , 351709 ) 
point68029 ( 753915 , 292262 ) 
point98074 ( 751245 , 293681 ) 
point13387 ( 839209 , 283617 ) 
point12864 ( 465299 , 198702 ) 
point25142 ( 365208 , 783194 ) 
point14973 ( 36684 , 25274 ) 
point97105 ( 764601 , 272580 ) 
point29345 ( 9982 , 465887 ) 
point38571 ( 737228 , 634466 ) 
point17825 ( 183620 , 905030 ) 
point3382 ( 794478 , 379527 ) 
point20734 ( 838685 , 937927 ) 
point44377 ( 610107 , 483423 ) 
point9832 ( 326179 , 54866 ) 
point66560 ( 755230 , 275141 ) 
point78925 ( 793765 , 269889 ) 
point73309 ( 766086 , 255114 ) 
point53414 ( 580262 , 89813 ) 
point68946 ( 799616 , 277388 ) 
point89063 ( 787300 , 295578 ) 
point4999 ( 948957 , 379957 ) 
point382 ( 297054 , 151201 ) 
point66875 ( 772000 , 271876 ) 
point19389 ( 687354 , 728690 ) 
point23200 ( 852778 , 997462 ) 
point67625 ( 756493 , 260919 ) 
point99083 ( 756825 , 260917 ) 
point6012 ( 563626 , 373612 ) 
point10137 ( 768716 , 166439 ) 
point6540 ( 186397 , 578087 ) 
point27413 ( 270522 , 810217 ) 
point6469 ( 868619 , 587416 ) 
point77169 ( 784731 , 271570 ) 
point52833 ( 199285 , 549190 ) 
point5689 ( 902497 , 407953 ) 
point36712 ( 326240 , 658910 ) 
point8925 ( 755110 , 911374 ) 
point20565 ( 359419 , 671463 ) 
point93824 ( 794185 , 256604 ) 
point91771 ( 763776 , 299307 ) 
point26330 ( 146372 , 313835 ) 
point10147 ( 969961 , 25288 ) 
point38975 ( 366955 , 783601 ) 
point7451 ( 88290 , 283231 ) 
point82678 ( 762511 , 278925 ) 
point44267 ( 966162 , 592379 ) 
point75853 ( 772963 , 283339 ) 
point49199 ( 344369 , 102044 ) 
point6056 ( 596446 , 633534 ) 
point51201 ( 23255 , 26139 ) 
point66183 ( 750036 , 299162 ) 
point14122 ( 849731 , 459603 ) 
point99485 ( 780228 , 279218 ) 
point56377 ( 326981 , 746860 ) 
point38583 ( 616228 , 401740 ) 
point99122 ( 777128 , 296043 ) 
point10063 ( 653238 , 82924 ) 
point34609 ( 69690 , 133487 ) 
point37939 ( 332682 , 760634 ) 
point29247 ( 650544 , 855371 ) 
point45464 ( 373728 , 885746 ) 
point1812 ( 210167 , 472400 ) 
point93228 ( 771522 , 284972 ) 
point36233 ( 826544 , 801396 ) 
point59965 ( 219318 , 63660 ) 
point31126 ( 180917 , 944376 ) 
point97348 ( 751266 , 270178 ) 
point27285 ( 159618 , 936986 ) 
point6205 ( 687385 , 54738 ) 
point33117 ( 781631 , 764550 ) 
point63586 ( 779105 , 260434 ) 
point43205 ( 991845 , 995322 ) 
point51980 ( 438324 , 494150 ) 
point58513 ( 669808 , 7514 ) 
point89567 ( 761416 , 279594 ) 
point92661 ( 770045 , 281453 ) 
point1091 ( 52283 , 817424 ) 
point32938 ( 24276 , 122948 ) 
point49023 ( 771662 , 1260 ) 
point25564 ( 669594 , 228878 ) 
point67464 ( 752162 , 286853 ) 
point52920 ( 178836 , 841175 ) 
point74517 ( 757851 , 286076 ) 
point85972 ( 754127 , 293478 ) 
point38588 ( 427038 , 187362 ) 
point89911 ( 790107 , 276438 ) 
point155 ( 426231 , 790721 ) 
point3667 ( 743693 , 346670 ) 
point2058 ( 306246 , 47875 ) 
point74632 ( 764023 , 260766 ) 
point9935 ( 29256 , 571377 ) 
point33939 ( 465288 , 494369 ) 
point12652 ( 126296 , 828662 ) 
point13174 ( 750477 , 370945 ) 
point18319 ( 692221 , 842341 ) 
point57076 ( 785882 , 232772 ) 
point58651 ( 55877 , 861530 ) 
point99176 ( 772123 , 287279 ) 
point7515 ( 360908 , 951689 ) 
point585 ( 127689 , 793608 ) 
point79269 ( 764788 , 269892 ) 
point14451 ( 500391 , 681109 ) 
point1762 ( 269849 , 617817 ) 
point53450 ( 837157 , 609906 ) 
point24308 ( 17875 , 683336 ) 
point66689 ( 787735 , 269425 ) 
point52654 ( 771429 , 384362 ) 
point81104 ( 797505 , 265932 ) 
point71982 ( 770142 , 259760 ) 
point84724 ( 785650 , 251615 ) 
point46995 ( 516061 , 872921 ) 
point72365 ( 770600 , 251006 ) 
point25570 ( 277563 , 921489 ) 
point34795 ( 154839 , 437572 ) 
point11133 ( 828248 , 398406 ) 
point32101 ( 727471 , 383712 ) 
point11903 ( 895780 , 853523 ) 
point26267 ( 202260 , 559538 ) 
point753 ( 632055 , 42703 ) 
point31561 ( 72109 , 613766 ) 
point6844 ( 643591 , 972138 ) 
point10116 ( 927884 , 194038 ) 
point15843 ( 501429 , 976930 ) 
point59955 ( 177862 , 888701 ) 
point31382 ( 817089 , 222974 ) 
point26940 ( 604885 , 174383 ) 
point332 ( 320098 , 924160 ) 
point67668 ( 780892 , 267768 ) 
point92790 ( 785167 , 252193 ) 
point88126 ( 782725 , 263594 ) 
point65969 ( 795217 , 283787 ) 
point3748 ( 325554 , 108714 ) 
point6663 ( 397419 , 719243 ) 
point29245 ( 364896 , 352915 ) 
point5098 ( 58327 , 199850 ) 
point30133 ( 526464 , 595898 ) 
point40263 ( 496959 , 74189 ) 
point69386 ( 752736 , 296927 ) 
point95529 ( 784947 , 272023 ) 
point62300 ( 791434 , 286949 ) 
point58869 ( 344690 , 931393 ) 
point32353 ( 161273 , 287931 ) 
point62435 ( 764728 , 287915 ) 
point89595 ( 798388 , 286053 ) 
point24084 ( 899366 , 942331 ) 
point75517 ( 797131 , 299804 ) 
point10155 ( 238451 , 777144 ) 
point83902 ( 759400 , 257857 ) 
point89144 ( 794545 , 269982 ) 
point89444 ( 761129 , 272406 ) 
point46065 ( 690382 , 698614 ) 
point35458 ( 444284 , 747713 ) 
point66208 ( 757366 , 260217 ) 
point86686 ( 756571 , 266762 ) 
point84088 ( 787249 , 250400 ) 
point97770 ( 781050 , 253445 ) 
point54340 ( 641942 , 441025 ) 
point5009 ( 911971 , 631275 ) 
point30505 ( 261536 , 960067 ) 
point84805 ( 781597 , 255080 ) 
point27020 ( 380776 , 66137 ) 
point39035 ( 579154 , 10689 ) 
point76184 ( 750918 , 280133 ) 
point47195 ( 88337 , 249825 ) 
point86670 ( 774647 , 276573 ) 
point55414 ( 497810 , 794434 ) 
point76784 ( 774607 , 288186 ) 
point54140 ( 554270 , 664076 ) 
point57183 ( 409223 , 137200 ) 
point86610 ( 765924 , 282875 ) 
point84065 ( 786657 , 267746 ) 
point1492 ( 735556 , 169243 ) 
point87091 ( 754937 , 277265 ) 
point74626 ( 761529 , 272467 ) 
point86693 ( 753769 , 291833 ) 
point16770 ( 558321 , 197273 ) 
point16127 ( 19699 , 535029 ) 
point29257 ( 103547 , 905036 ) 
point49449 ( 571064 , 835636 ) 
point99337 ( 790243 , 253190 ) 
point19912 ( 653293 , 266996 ) 
point41600 ( 102962 , 821141 ) 
point54623 ( 19226 , 641945 ) 
point29647 ( 953001 , 373409 ) 
point44689 ( 298976 , 413151 ) 
point78281 ( 779505 , 295858 ) 
point48088 ( 162613 , 262288 ) 
point97729 ( 781863 , 267656 ) 
point42569 ( 324725 , 289961 ) 
point14617 ( 497646 , 814568 ) 
point41707 ( 185813 , 30252 ) 
point95158 ( 766691 , 272082 ) 
point98796 ( 775698 , 268997 ) 
point96605 ( 782347 , 293659 ) 
point70089 ( 787681 , 294645 ) 
point5013 ( 417895 , 879017 ) 
point98339 ( 771068 , 268152 ) 
point63409 ( 751905 , 265471 ) 
point18241 ( 98252 , 760143 ) 
point84731 ( 751242 , 259860 ) 
point32110 ( 404424 , 429867 ) 
point43623 ( 290913 , 522794 ) 
point32913 ( 310989 , 244961 ) 
point37964 ( 823446 , 211742 ) 
point13779 ( 743008 , 100320 ) 
point59445 ( 86887 , 961418 ) 
point90357 ( 795854 , 265281 ) 
point37833 ( 56254 , 563434 ) 
point71754 ( 798436 , 294612 ) 
point19702 ( 325049 , 291123 ) 
point69624 ( 758434 , 286609 ) 
point97206 ( 788173 , 284870 ) 
point66403 ( 763134 , 288975 ) 
point28628 ( 334531 , 882135 ) 
point50481 ( 782304 , 89909 ) 
point37649 ( 569178 , 189601 ) 
point21380 ( 645545 , 95726 ) 
point30500 ( 291931 , 836576 ) 
point32311 ( 97720 , 334942 ) 
point4091 ( 448068 , 822397 ) 
point32683 ( 28130 , 465564 ) 
point13191 ( 493361 , 840807 ) 
point51248 ( 680973 , 457591 ) 
point89533 ( 787221 , 276121 ) 
point30358 ( 430153 , 614099 ) 
point46128 ( 570311 , 723876 ) 
point92476 ( 795709 , 251497 ) 
point11693 ( 197847 , 141409 ) 
point11071 ( 368865 , 132539 ) 
point72480 ( 751845 , 299187 ) 
point87710 ( 792324 , 261049 ) 
point40289 ( 701249 , 407459 ) 
point39146 ( 946275 , 528925 ) 
point23531 ( 88408 , 790902 ) 
point9333 ( 786723 , 89809 ) 
point94651 ( 786920 , 281932 ) 
point92359 ( 793650 , 284205 ) 
point58648 ( 909098 , 507278 ) 
point19736 ( 2423 , 149464 ) 
point42956 ( 120220 , 104932 ) 
point42845 ( 453310 , 742352 ) 
point67750 ( 765659 , 299644 ) 
point49534 ( 366024 , 263190 ) 
point83216 ( 760627 , 251764 ) 
point14438 ( 872815 , 27246 ) 
point42601 ( 893472 , 273890 ) 
point29412 ( 421576 , 660589 ) 
point46298 ( 310241 , 336423 ) 
point36916 ( 836754 , 57888 ) 
point35823 ( 279881 , 643852 ) 
point30149 ( 375585 , 881080 ) 
point62817 ( 792883 , 291718 ) 
point46373 ( 532662 , 636136 ) 
point39792 ( 63933 , 581638 ) 
point79367 ( 788464 , 271998 ) 
point28352 ( 645246 , 486865 ) 
point38942 ( 290534 , 646955 ) 
point14456 ( 576293 , 349585 ) 
point52457 ( 729211 , 830269 ) 
point32009 ( 626795 , 392318 ) 
point52978 ( 70486 , 959577 ) 
point69534 ( 756534 , 279918 ) 
point37529 ( 199611 , 36728 ) 
point47975 ( 829551 , 302870 ) 
point56224 ( 359050 , 582332 ) 
point11526 ( 373028 , 594115 ) 
point26582 ( 496085 , 475288 ) 
point25373 ( 221647 , 737393 ) 
point1147 ( 782505 , 697186 ) 
point31696 ( 20728 , 960156 ) 
point58307 ( 274223 , 255280 ) 
point36869 ( 750471 , 62186 ) 
point14899 ( 266096 , 39530 ) 
point82531 ( 764970 , 256353 ) 
point65243 ( 752197 , 257331 ) 
point20838 ( 291431 , 141548 ) 
point65064 ( 765731 , 268340 ) 
point29058 ( 745198 , 839941 ) 
point54262 ( 709405 , 921720 ) 
point77484 ( 764869 , 286055 ) 
point80896 ( 753606 , 292694 ) 
point62569 ( 761072 , 273508 ) 
point15365 ( 958729 , 443605 ) 
point9344 ( 441867 , 824098 ) 
point3175 ( 924333 , 787130 ) 
point98168 ( 775301 , 277754 ) 
point62766 ( 757080 , 267559 ) 
point61207 ( 755012 , 297731 ) 
point61273 ( 751787 , 258525 ) 
point78472 ( 788145 , 268480 ) 
point9314 ( 869510 , 565332 ) 
point34304 ( 140255 , 98766 ) 
point72301 ( 771012 , 284192 ) 
point13950 ( 385316 , 272557 ) 
point92245 ( 767919 , 275917 ) 
point29621 ( 367488 , 473413 ) 
point28928 ( 221170 , 191294 ) 
point6638 ( 414114 , 30072 ) 
point5800 ( 122499 , 653065 ) 
point47583 ( 582010 , 498007 ) 
point18036 ( 684348 , 656875 ) 
point99786 ( 752399 , 262880 ) 
point55673 ( 762717 , 401026 ) 
point97503 ( 775671 , 275350 ) 
point98762 ( 793353 , 278317 ) 
point52665 ( 260230 , 914836 ) 
point20770 ( 191711 , 572068 ) 
point76092 ( 757687 , 268258 ) 
point65851 ( 763609 , 256751 ) 
point32734 ( 204075 , 459286 ) 
point9798 ( 456588 , 457418 ) 
point63904 ( 791147 , 269978 ) 
point46520 ( 534205 , 278338 ) 
point14915 ( 904323 , 677383 ) 
point6804 ( 509202 , 235299 ) 
point90986 ( 799316 , 251658 ) 
point7552 ( 895912 , 797838 ) 
point1773 ( 617846 , 962432 ) 
point7558 ( 335960 , 400168 ) 
point50668 ( 468339 , 609655 ) 
point65330 ( 752660 , 283476 ) 
point96133 ( 751984 , 279720 ) 
point23779 ( 334097 , 396674 ) 
point56211 ( 307495 , 995952 ) 
point1923 ( 359137 , 62544 ) 
point44965 ( 566783 , 40666 ) 
point57919 ( 378285 , 255976 ) 
point75992 ( 767694 , 280166 ) 
point68727 ( 780269 , 251615 ) 
point46397 ( 204568 , 620311 ) 
point69575 ( 799216 , 272809 ) 
point27334 ( 366420 , 672654 ) 
point60942 ( 760847 , 253098 ) 
point84687 ( 785940 , 271848 ) 
point19843 ( 11015 , 595714 ) 
point24550 ( 135131 , 433155 ) 
point83238 ( 761132 , 282230 ) 
point35024 ( 122558 , 861010 ) 
point10586 ( 835970 , 794916 ) 
point81821 ( 799657 , 298716 ) 
point77354 ( 761386 , 293656 ) 
point41410 ( 176537 , 549148 ) 
point31770 ( 660182 , 335764 ) 
point90883 ( 791390 , 271948 ) 
point85769 ( 757341 , 258515 ) 
point48363 ( 829437 , 811068 ) 
point33681 ( 259832 , 538711 ) 
point17225 ( 724915 , 60364 ) 
point68170 ( 752800 , 263401 ) 
point49966 ( 672736 , 761181 ) 
point99885 ( 778253 , 262752 ) 
point93179 ( 750528 , 264830 ) 
point87095 ( 750010 , 263918 ) 
point80721 ( 788722 , 296855 ) 
point29025 ( 147684 , 728672 ) 
point50025 ( 373507 , 680386 ) 
point35919 ( 404284 , 88501 ) 
point27723 ( 664077 , 339399 ) 
point31215 ( 997340 , 863253 ) 
point54162 ( 143677 , 241035 ) 
point98872 ( 780174 , 296714 ) 
point67001 ( 783701 , 261449 ) 
point74337 ( 784276 , 278995 ) 
point52846 ( 586576 , 772833 ) 
point347 ( 884748 , 263873 ) 
point83867 ( 760924 , 275047 ) 
point22200 ( 179223 , 504358 ) 
point21772 ( 223497 , 749292 ) 
point88413 ( 777966 , 298912 ) 
point59610 ( 504131 , 866365 ) 
point23194 ( 768519 , 434081 ) 
point56153 ( 909729 , 543279 ) 
point30345 ( 829806 , 641001 ) 
point8362 ( 243716 , 285682 ) 
point45434 ( 724633 , 355685 ) 
point95575 ( 797668 , 258207 ) 
point87574 ( 797342 , 282040 ) 
point40745 ( 198973 , 177166 ) 
point66047 ( 763038 , 267689 ) 
point80912 ( 753204 , 278731 ) 
point6892 ( 335855 , 996997 ) 
point74902 ( 761208 , 293918 ) 
point40861 ( 782629 , 570900 ) 
point71125 ( 766117 , 253886 ) 
point61944 ( 784223 , 259274 ) 
point27835 ( 81027 , 855634 ) 
point21158 ( 182273 , 153711 ) 
point49413 ( 348376 , 316404 ) 
point15167 ( 232989 , 238324 ) 
point47992 ( 684501 , 518911 ) 
point59451 ( 324780 , 894404 ) 
point26865 ( 367565 , 842088 ) 
point27587 ( 209693 , 99541 ) 
point11396 ( 86947 , 230909 ) 
point5265 ( 479412 , 353596 ) 
point25325 ( 120415 , 426844 ) 
point25365 ( 587117 , 474741 ) 
point4921 ( 159106 , 351246 ) 
point46682 ( 810452 , 630391 ) 
point33893 ( 429172 , 679461 ) 
point15801 ( 19347 , 44219 ) 
point38554 ( 622804 , 449081 ) 
point13643 ( 987000 , 513177 ) 
point82606 ( 796264 , 285810 ) 
point51485 ( 987313 , 98357 ) 
point6617 ( 366028 , 662813 ) 
point6479 ( 968189 , 221687 ) 
point38379 ( 532324 , 170373 ) 
point57841 ( 863445 , 818244 ) 
point6009 ( 385513 , 361476 ) 
point31894 ( 548370 , 503481 ) 
point65855 ( 753056 , 291814 ) 
point35225 ( 781241 , 78206 ) 
point45344 ( 530765 , 982401 ) 
point63626 ( 777690 , 286871 ) 
point70823 ( 794178 , 261922 ) 
point780 ( 861372 , 913156 ) 
point1063 ( 310729 , 283585 ) 
point26534 ( 313168 , 168434 ) 
point36464 ( 694912 , 592432 ) 
point92403 ( 783925 , 275185 ) 
